w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,w2v_25,w2v_26,w2v_27,w2v_28,w2v_29,w2v_30,w2v_31,w2v_32,w2v_33,w2v_34,w2v_35,w2v_36,w2v_37,w2v_38,w2v_39,w2v_40,w2v_41,w2v_42,w2v_43,w2v_44,w2v_45,w2v_46,w2v_47,w2v_48,w2v_49,w2v_50,w2v_51,w2v_52,w2v_53,w2v_54,w2v_55,w2v_56,w2v_57,w2v_58,w2v_59,w2v_60,w2v_61,w2v_62,w2v_63,w2v_64,w2v_65,w2v_66,w2v_67,w2v_68,w2v_69,w2v_70,w2v_71,w2v_72,w2v_73,w2v_74,w2v_75,w2v_76,w2v_77,w2v_78,w2v_79,w2v_80,w2v_81,w2v_82,w2v_83,w2v_84,w2v_85,w2v_86,w2v_87,w2v_88,w2v_89,w2v_90,w2v_91,w2v_92,w2v_93,w2v_94,w2v_95,w2v_96,w2v_97,w2v_98,w2v_99
-0.13226013,0.08877613,0.12832056,0.008562697,0.06465601,-0.3895499,0.0051301466,0.46142167,-0.2643997,-0.23872806,-0.1088817,-0.39598918,-0.015727395,0.2075216,0.19604632,-0.1111353,0.10631771,-0.1781133,-0.025342034,-0.48444363,0.1421534,0.14071436,0.1589437,-0.24022649,0.016543757,0.13951382,-0.19522144,0.0219804,-0.18145189,0.065767065,0.18540093,-0.009677237,0.048826363,-0.1445153,-0.10139873,0.22922231,0.09879034,-0.08546859,-0.07229517,-0.4142658,0.09246757,-0.1202681,-0.16747554,0.13830203,0.16232978,-0.07970514,-0.16882147,-0.026564615,0.105906434,0.06393305,0.1296647,-0.13697249,-0.03209172,-0.010273246,-0.07415564,0.158442,0.03490693,-0.110136196,-0.16881706,0.069802776,-0.03672151,0.102978475,0.108800165,0.03276483,-0.14921145,0.16301183,0.07388335,0.25001997,-0.21814923,0.26643512,-0.14598477,0.22444394,0.2086652,0.041806053,0.24014787,0.024524493,0.005934317,-0.12054159,-0.21486993,0.08533267,-0.043634146,0.031183004,-0.26139754,0.37329105,-0.062731564,0.041576087,0.058522608,0.214919,0.20501688,0.11179419,0.29721144,0.19383545,0.023939937,0.05021432,0.43997693,0.3017368,0.09476459,-0.22844899,0.20518449,-0.15889116
-0.1548101,0.08500497,0.11588101,0.03987205,0.071061105,-0.41221052,-0.0044070855,0.48004925,-0.2658614,-0.2325951,-0.111045934,-0.4017147,-0.03918047,0.22448978,0.21286473,-0.13867077,0.11681876,-0.18688853,-0.046148386,-0.49691725,0.12423917,0.15720442,0.17368111,-0.26936057,0.058010675,0.12886965,-0.21713181,0.032672733,-0.19694242,0.074309625,0.20144783,-0.0031278827,0.048353277,-0.14616987,-0.11703292,0.23871961,0.11647693,-0.100039914,-0.060398676,-0.45577687,0.07045518,-0.14558972,-0.18025379,0.15964232,0.17066285,-0.06384156,-0.17375252,-0.036128987,0.1035163,0.05830362,0.13370115,-0.15258855,-0.04602535,-0.022358065,-0.10101549,0.16261546,0.036217295,-0.14313753,-0.18256436,0.07576205,-0.009872462,0.12280501,0.13056935,0.023865098,-0.15900944,0.17014925,0.057532113,0.296208,-0.2593542,0.3004324,-0.16195562,0.24411069,0.20811142,0.05677174,0.26623985,0.004534391,-0.006505484,-0.120405,-0.21839009,0.0814257,-0.041933995,0.008387559,-0.28505898,0.38821623,-0.06162317,0.036539357,0.06284213,0.20552921,0.22220235,0.1155025,0.31994095,0.19710244,0.020700516,0.06022389,0.48103434,0.31171358,0.082915165,-0.21018259,0.18408202,-0.17527348
-0.15427062,0.08061342,0.13188517,0.055106208,0.07219485,-0.38262102,-0.010110303,0.46185786,-0.25429136,-0.22528622,-0.10516319,-0.38381147,-0.041879106,0.19853202,0.19778508,-0.12544267,0.11268584,-0.1654346,-0.031812117,-0.46883744,0.14089413,0.17190976,0.2002726,-0.26611927,0.050394133,0.1323764,-0.20845361,0.050427236,-0.1822677,0.07819225,0.19823751,-0.009186666,0.040827915,-0.14085811,-0.08914027,0.22560576,0.1410229,-0.08807552,-0.075796165,-0.41058624,0.0769142,-0.12620954,-0.18956397,0.14608577,0.14942607,-0.07180154,-0.16044097,-0.022280654,0.11310837,0.050679386,0.13499497,-0.1282255,-0.022095168,-0.012839836,-0.06890974,0.132709,0.026123036,-0.13023832,-0.15699725,0.046133455,-0.029336978,0.12326456,0.13681482,0.0046019875,-0.15568368,0.16116105,0.059398763,0.25847036,-0.22123487,0.2641583,-0.13347885,0.25010985,0.19575237,0.07632088,0.2554921,0.006735047,0.00089936703,-0.14296643,-0.20414089,0.07698168,-0.05229681,0.0038405557,-0.25816616,0.36847648,-0.07149601,0.00864627,0.036859993,0.19342883,0.1926178,0.114789,0.304277,0.19550666,0.037564773,0.025755027,0.4562897,0.30292144,0.0741854,-0.1910056,0.18643185,-0.1859683
-0.1680637,0.085943416,0.13727447,0.0746236,0.06942694,-0.3993462,-0.007328108,0.47523823,-0.25514823,-0.24276312,-0.108844735,-0.3950057,-0.044162355,0.21169491,0.19805512,-0.13587584,0.11584286,-0.17594509,-0.0319536,-0.4865861,0.13758391,0.18759398,0.22149391,-0.28564343,0.06003862,0.13034487,-0.2224456,0.0521654,-0.19416393,0.0844506,0.20826325,0.0030897495,0.035456456,-0.14963861,-0.103208184,0.24112394,0.15369819,-0.09978866,-0.065210804,-0.44695038,0.085381284,-0.14076057,-0.20476095,0.15487246,0.16571595,-0.07034471,-0.16464067,-0.024480993,0.11764477,0.040810235,0.15133008,-0.11714412,-0.019481793,-0.01727591,-0.09088367,0.13571697,0.019780474,-0.14885177,-0.16871701,0.043521374,-0.01507209,0.1278076,0.1503781,-0.0040413784,-0.15903147,0.16371706,0.05721554,0.27723837,-0.24166565,0.28155905,-0.14089131,0.2724374,0.19775066,0.094090514,0.2766021,0.014528421,-0.009320402,-0.15655205,-0.21075149,0.08670098,-0.04281744,-0.0067060078,-0.2736866,0.3803579,-0.08309042,0.0007672794,0.04567473,0.20109208,0.2112108,0.1311652,0.32160676,0.20980589,0.029532596,0.025599923,0.49115887,0.31009418,0.06355812,-0.18978894,0.18828,-0.20740959
-0.14214158,0.06649948,0.11698321,0.06870304,0.059646245,-0.3404623,-0.009477316,0.41308296,-0.21438287,-0.2089112,-0.0948445,-0.33733618,-0.04354148,0.17530252,0.16328326,-0.12238616,0.09419781,-0.14788939,-0.031420473,-0.42112,0.12982827,0.1722694,0.20343155,-0.25186944,0.05804507,0.112850524,-0.19110404,0.051713582,-0.16296561,0.07839917,0.1863748,-0.0006824606,0.034184992,-0.13538413,-0.09037686,0.21139301,0.14418237,-0.082125284,-0.06360237,-0.3862495,0.07137293,-0.11737318,-0.18216383,0.13321328,0.14192684,-0.070271894,-0.13930424,-0.032459974,0.10717631,0.028490677,0.13531217,-0.09244578,-0.005253598,-0.010885624,-0.06539513,0.10755718,0.00996086,-0.14248045,-0.14880301,0.020602612,-0.019176241,0.10440535,0.14717208,-0.0077780895,-0.1418052,0.14352933,0.050940663,0.23757042,-0.2115255,0.24432904,-0.119282804,0.24312823,0.16618407,0.09196486,0.23943014,0.016721949,-0.0056689787,-0.14449695,-0.17727907,0.072312534,-0.04205313,-0.008210588,-0.24444105,0.3216848,-0.08103452,-0.017842107,0.04024936,0.17554247,0.17335738,0.11881776,0.28077564,0.18248884,0.028804706,0.011887611,0.42459884,0.27202135,0.04816006,-0.15817742,0.16542839,-0.18063943
-0.16479631,0.0803678,0.13739674,0.05935675,0.0780243,-0.42343187,-0.010102809,0.50082564,-0.2753728,-0.2495366,-0.1126955,-0.42060354,-0.04864621,0.22077829,0.21758723,-0.13340324,0.11560495,-0.18631205,-0.046442624,-0.513372,0.14639407,0.19318514,0.22426185,-0.2983718,0.061794046,0.14328678,-0.23229876,0.053989913,-0.20724486,0.08269741,0.22306399,-0.0036365164,0.052855883,-0.15818933,-0.11100793,0.24612474,0.15218675,-0.09758206,-0.08064832,-0.4642646,0.08088787,-0.13771072,-0.21165271,0.16324621,0.17197631,-0.08058321,-0.17797115,-0.029294837,0.12667114,0.05276271,0.15046102,-0.14126131,-0.01757419,-0.012396825,-0.08148015,0.15145127,0.026384644,-0.15838039,-0.18153316,0.04929227,-0.025964184,0.12682362,0.15020536,0.012481189,-0.17431818,0.1736971,0.061065424,0.2926748,-0.2616747,0.30812413,-0.15710719,0.27696428,0.22029072,0.0811047,0.27758625,0.0103988955,0.0016516637,-0.1609652,-0.22405276,0.08142361,-0.05453514,0.0012723554,-0.2929065,0.40693817,-0.07796441,0.008829957,0.05307566,0.21569282,0.21387477,0.13570872,0.33616596,0.21298955,0.04075198,0.030182876,0.5068681,0.33364964,0.07459252,-0.20713392,0.20671153,-0.19971026
-0.16252849,0.122588344,0.093875356,0.024715869,0.05461949,-0.39758334,0.0075508473,0.4355084,-0.24426156,-0.20975731,-0.11494276,-0.36526388,-0.021848537,0.21200752,0.20764087,-0.15440781,0.11613916,-0.19637878,-0.028895166,-0.46576732,0.08556203,0.12615363,0.14263178,-0.2230382,0.057076156,0.100983195,-0.19881858,0.0010947826,-0.17380889,0.06007472,0.18501666,0.012455942,0.02516997,-0.107531175,-0.118100084,0.23890154,0.071480654,-0.12083415,-0.033922184,-0.46218893,0.06174112,-0.15020669,-0.15731454,0.12235338,0.15724291,-0.043231986,-0.15669097,-0.048555724,0.06396888,0.04634638,0.13529791,-0.13457492,-0.07520866,-0.028829899,-0.14956437,0.15941378,0.043225825,-0.13430232,-0.20213206,0.0818958,0.0034671635,0.11844083,0.11345088,0.021311274,-0.13072489,0.13300994,0.063042164,0.2757246,-0.2624508,0.26101112,-0.1720515,0.21635611,0.18125671,0.044925865,0.25106722,0.029595615,-0.030104904,-0.074805856,-0.2194555,0.10170324,-0.0035903705,-0.0074212323,-0.23997232,0.36528367,-0.06340127,0.06101849,0.06671582,0.2056387,0.24850439,0.09925067,0.27788025,0.1869935,-0.02272931,0.064251,0.45414475,0.2795771,0.070572324,-0.2139392,0.14507368,-0.15775874
-0.14650431,0.13526401,0.071267255,0.0058316994,0.043292847,-0.35970274,0.008074917,0.3790078,-0.1983791,-0.1910657,-0.112657435,-0.31023693,-0.0102161905,0.18918127,0.18780103,-0.15234144,0.097167596,-0.19797032,-0.021072414,-0.41345766,0.065109976,0.09972329,0.11477287,-0.1833859,0.04484528,0.08342246,-0.17027651,-0.021304106,-0.14005163,0.04701831,0.15867586,0.020459387,0.014566232,-0.09332035,-0.11621401,0.22386241,0.028082997,-0.1082348,-0.018220482,-0.43404835,0.057390317,-0.1412286,-0.1256155,0.090182334,0.14719027,-0.041817624,-0.13087913,-0.07150927,0.035992876,0.036653,0.13453482,-0.11180388,-0.077593096,-0.033572856,-0.16679,0.15691358,0.038992185,-0.12306126,-0.20445003,0.08270464,0.02561822,0.08883515,0.097177744,0.022521893,-0.09092137,0.10908995,0.061143573,0.25458327,-0.25155827,0.23044498,-0.17189574,0.17567049,0.14663406,0.042238973,0.21863842,0.050758757,-0.03774559,-0.040011287,-0.19527288,0.11481891,0.013118542,-0.008815932,-0.21206902,0.31332013,-0.053722546,0.05769951,0.08022065,0.19108337,0.24519989,0.08592698,0.24343307,0.1558182,-0.05328931,0.07370836,0.40076736,0.24671914,0.061484154,-0.210121,0.10715804,-0.13292296
-0.15303428,0.15378876,0.06401195,-0.0163566,0.038118638,-0.3871628,0.016562844,0.39558008,-0.21382977,-0.19975361,-0.12401581,-0.3309231,-0.00085821305,0.20922694,0.20263506,-0.16173716,0.10475385,-0.22014429,-0.022698639,-0.44545743,0.060218647,0.09123972,0.09891479,-0.1749848,0.046319205,0.08172261,-0.17646247,-0.03812963,-0.14707334,0.044295996,0.16665468,0.021600598,0.018237023,-0.08546075,-0.13320686,0.24450442,0.008112516,-0.116643175,-0.014495503,-0.47251102,0.05377969,-0.14676178,-0.11763553,0.08855566,0.15549238,-0.04103859,-0.13749082,-0.0808291,0.028845187,0.045324586,0.13449213,-0.12983681,-0.10003418,-0.03723613,-0.18912461,0.18048571,0.0520812,-0.12610602,-0.23396464,0.10068101,0.029593736,0.09079607,0.0923007,0.03902788,-0.09735195,0.11275574,0.066894405,0.26927808,-0.27140388,0.25198555,-0.19415544,0.17104934,0.15702783,0.030503279,0.22409178,0.05737235,-0.046758614,-0.02181314,-0.21913236,0.12992263,0.028306004,-0.009666364,-0.22570652,0.3383734,-0.051983584,0.080843605,0.09188576,0.20563544,0.2666972,0.08239533,0.25181362,0.16713014,-0.06616894,0.095101625,0.4163986,0.26194265,0.07354413,-0.23793936,0.10976117,-0.12629832
-0.14768127,0.15274057,0.051600512,-0.0305978,0.036357753,-0.39423215,0.015817812,0.40740767,-0.22233829,-0.19278006,-0.120217234,-0.3372515,-0.008840637,0.21709372,0.2087014,-0.16562654,0.1125708,-0.22208513,-0.03487247,-0.4589705,0.05223763,0.08799182,0.07844179,-0.17698506,0.050908457,0.08146306,-0.18882844,-0.04980202,-0.15217051,0.04535224,0.16787122,0.020991184,0.030876657,-0.09325894,-0.13283865,0.24648021,0.002764165,-0.11884776,-0.009498433,-0.47659084,0.051236726,-0.16031292,-0.1279476,0.096230224,0.15920016,-0.042788494,-0.14573213,-0.07362779,0.032516386,0.062361784,0.12618592,-0.14922126,-0.11578282,-0.031728167,-0.18959278,0.19654174,0.06672498,-0.12756641,-0.23407915,0.12071917,0.031296454,0.09528386,0.0891965,0.048255213,-0.0977092,0.11871901,0.071660794,0.2825471,-0.29290897,0.26341194,-0.20248525,0.17161857,0.17103344,0.008197011,0.22044347,0.045901008,-0.04703639,-0.0118318815,-0.22165892,0.12541434,0.02384336,-0.00080079027,-0.22785729,0.3524677,-0.044679724,0.09730586,0.101349354,0.21352117,0.27825475,0.09485401,0.25993973,0.16427949,-0.062612474,0.097118855,0.42111456,0.2646136,0.08727524,-0.24050926,0.10667998,-0.120940335
